598735a14000-7ffdfe6fa000 ---p 00000000 00:00 0                          [rollup]
Rss:               87624 kB
Pss:               55846 kB
Pss_Dirty:         29836 kB
Pss_Anon:          28868 kB
Pss_File:          26910 kB
Pss_Shmem:            68 kB
Shared_Clean:      57096 kB
Shared_Dirty:         44 kB
Private_Clean:       668 kB
Private_Dirty:     29816 kB
Referenced:        87624 kB
Anonymous:         28868 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
