MemTotal:        7848088 kB
MemFree:         1154376 kB
MemAvailable:    3225628 kB
Buffers:           99904 kB
Cached:          2648364 kB
SwapCached:       194664 kB
Active:          3020612 kB
Inactive:        2119752 kB
Active(anon):    2166560 kB
Inactive(anon):   807976 kB
Active(file):     854052 kB
Inactive(file):  1311776 kB
Unevictable:      653996 kB
Mlocked:              80 kB
SwapTotal:       8388604 kB
SwapFree:        6352240 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4452 kB
Writeback:             0 kB
AnonPages:       3029524 kB
Mapped:           877636 kB
Shmem:           1050800 kB
KReclaimable:     218032 kB
Slab:             560980 kB
SReclaimable:     218032 kB
SUnreclaim:       342948 kB
KernelStack:       23580 kB
PageTables:        57700 kB
SecPageTables:      9428 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12312648 kB
Committed_AS:   14913416 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       77120 kB
VmallocChunk:          0 kB
Percpu:            13440 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   196608 kB
ShmemPmdMapped:        0 kB
FileHugePages:     59392 kB
FilePmdMapped:      4096 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      365440 kB
DirectMap2M:     7741440 kB
DirectMap1G:           0 kB
