563bb7636000-7ffebbce3000 ---p 00000000 00:00 0                          [rollup]
Rss:               88212 kB
Pss:               56206 kB
Pss_Dirty:         30338 kB
Pss_Anon:          29356 kB
Pss_File:          26750 kB
Pss_Shmem:            99 kB
Shared_Clean:      57176 kB
Shared_Dirty:         84 kB
Private_Clean:       648 kB
Private_Dirty:     30304 kB
Referenced:        88212 kB
Anonymous:         29356 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
