MemTotal:        7848088 kB
MemFree:          357756 kB
MemAvailable:    2673940 kB
Buffers:          140056 kB
Cached:          3239116 kB
SwapCached:       177376 kB
Active:          3433560 kB
Inactive:        2411764 kB
Active(anon):    2436376 kB
Inactive(anon):   844556 kB
Active(file):     997184 kB
Inactive(file):  1567208 kB
Unevictable:      654940 kB
Mlocked:              80 kB
SwapTotal:       8388604 kB
SwapFree:        6527172 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              4000 kB
Writeback:             0 kB
AnonPages:       3097108 kB
Mapped:           988096 kB
Shmem:           1230096 kB
KReclaimable:     263100 kB
Slab:             609972 kB
SReclaimable:     263100 kB
SUnreclaim:       346872 kB
KernelStack:       23500 kB
PageTables:        55572 kB
SecPageTables:      9784 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    12312648 kB
Committed_AS:   15020992 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       77076 kB
VmallocChunk:          0 kB
Percpu:            13440 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:   212992 kB
ShmemPmdMapped:        0 kB
FileHugePages:     83968 kB
FilePmdMapped:     73728 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      365440 kB
DirectMap2M:     7741440 kB
DirectMap1G:           0 kB
