    PID    PPID %CPU %MEM   RSS    VSZ STAT WCHAN  COMMAND
 453926  453878 99.1  1.1 88212 651776 Rl+  -      bulba
 445284       1 14.1  1.4 113640 520548 Ssl -      packagekitd
 453878  420300  7.8  0.0  5148  11636 S+   do_wai install
  88322    2420  5.8  7.1 560320 12698072 Sl poll_s firefox
   2150    2145  3.7  0.5 39500 781832 Sl+  ep_pol Xorg
   2420    2081  3.7  3.3 259116 4968696 Ssl poll_s gnome-shell
  94432   88500  2.6 10.7 846372 3641392 Sl poll_s Isolated Web Co
  88522   88500  2.6  0.6 51948 982436 Sl   poll_s RDD Process
 446202       1  1.3  0.7 57392 787516 Ssl  -      flatpak-system-
 292697    2081  1.0  3.3 261488 2047172 SLl poll_s telegram-deskto
 453883    2958  0.6  0.4 32868 403576 SNl  poll_s tracker-extract
   2110    2081  0.6  0.2 22936 154676 S<sl ep_pol pipewire-pulse
   2109    2081  0.5  0.1 15456 408680 S<sl poll_s wireplumber
 445544       2  0.4  0.0     0      0 D<   -      kworker/u49:3+i915_flip
  89144   88500  0.3  0.2 22756 642632 Sl   poll_s Utility Process
    279       2  0.2  0.0     0      0 S    -      irq/140-GXTP7863:00
 454097     450  0.2  0.0  5804  31016 S    -      (udev-worker)
 446257    2420  0.2  0.8 66148 3150472 Sl  poll_s gjs
 419178    2081  0.1  5.2 410120 40469636 Ssl ep_pol zed-editor
   2106    2081  0.1  0.2 21088 199980 S<sl ep_pol pipewire
   2543    2081  0.1  0.2 18440 470064 Ssl  poll_s ibus-daemon
   7391    2420  0.1  0.9 74092 4584220 Sl  poll_s Happ
 393578    1926  0.1  0.4 37836 1273704 Sl  -      sing-box
 445025       2  0.1  0.0     0      0 I    -      kworker/u48:25-flush-259:0
 445033       2  0.1  0.0     0      0 I    -      kworker/u48:33-flush-259:0
     15       2  0.1  0.0     0      0 I    -      rcu_preempt
  88752   88500  0.1  1.5 124564 19824532 Sl poll_s WebExtensions
    708       2  0.0  0.0     0      0 S    -      irq/151-iwlwifi:default_queue
   2679    2394  0.0  7.6 599820 2732096 Sl poll_s gnome-software
   1937       1  0.0  0.1 14656 2385380 Ssl -      containerd
   3153       1  0.0  0.1  8276 527588 Ssl  -      zerotier-one
  88513   88500  0.0  1.7 137772 2803436 Sl poll_s Privileged Cont
   1926       1  0.0  0.1 14844 227940 Ssl  -      happd
    713       2  0.0  0.0     0      0 S    -      irq/156-iwlwifi:queue_5
   2883    2543  0.0  0.1  8012 239272 Sl   poll_s ibus-engine-sim
 446925       2  0.0  0.0     0      0 I    -      kworker/9:0-events
    718       2  0.0  0.0     0      0 S    -      irq/161-iwlwifi:queue_10
     41       2  0.0  0.0     0      0 S    -      migration/8
   2674    2081  0.0  0.2 17288 307280 Sl   poll_s ibus-x11
