33.89 MB  7bc519600000-7bc521808000 r-xp 00000000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
14.47 MB  563bbbe80000-563bbcd30000 rw-p 00000000 00:00 0 [heap]
6.56 MB  7bc521809000-7bc521e9e000 r--p 08208000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
2.22 MB  7bc52324b000-7bc523b0a000 r-xp 0004b000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
1.17 MB  7bc526628000-7bc5267b1000 r-xp 00028000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
1.10 MB  7bc514c5b000-7bc51506b000 r-xp 0005b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.85 MB  7bc523b0a000-7bc524584000 r--p 0090a000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.78 MB  7bc515800000-7bc5158c9000 r--p 00000000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.74 MB  7bc516673000-7bc516731000 r--p 00e72000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.70 MB  7bc51685a000-7bc516bd0000 r-xp 0005a000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.70 MB  7bc52489d000-7bc5249e5000 r-xp 0009d000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.70 MB  7bc51728b000-7bc517342000 r--p 00a8b000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.67 MB  7bc50cba9000-7bc50cc7d000 rw-p 00000000 00:00 0
0.67 MB  563bb7675000-563bb7722000 r--p 0003f000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.66 MB  7bc524584000-7bc52462f000 r--p 01383000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.65 MB  7bc516bd0000-7bc51728b000 r--p 003d0000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.63 MB  7bc521ee6000-7bc521f8e000 rw-p 00000000 00:00 0
0.62 MB  7bc5158c9000-7bc515e90000 r-xp 000c9000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.61 MB  7bc524800000-7bc52489d000 r--p 00000000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.61 MB  7bc524c48000-7bc525259000 r-xp 00048000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.61 MB  7bc52469e000-7bc52478b000 r-xp 00016000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.60 MB  7bc515e90000-7bc516673000 r--p 00690000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.59 MB  7bc525bd1000-7bc525c6a000 r--p 00fd0000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.59 MB  7bc5156c6000-7bc51575c000 r--p 00ac5000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.58 MB  7bc522dd3000-7bc522e6a000 r--p 00dd3000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.57 MB  7bc5225da000-7bc522dd3000 r--p 005da000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.56 MB  7bc5264dc000-7bc52656c000 r-xp 00019000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.55 MB  7bc516773000-7bc516800000 rw-p 00000000 00:00 0
0.55 MB  7bc52694e000-7bc5269df000 r-xp 0000d000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.54 MB  7bc52205d000-7bc5225da000 r-xp 0005d000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.50 MB  7bc51506b000-7bc5156c6000 r--p 0046b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.50 MB  7bc517380000-7bc517400000 rw-p 00000000 00:00 0
0.48 MB  7bc525259000-7bc525bd1000 r--p 00659000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.41 MB  7bc519200000-7bc519268000 r--p 00000000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.36 MB  7bc522000000-7bc52205d000 r--p 00000000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.36 MB  7bc514c00000-7bc514c5b000 r--p 00000000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.35 MB  7bc516800000-7bc51685a000 r--p 00000000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.35 MB  7bc525cfc000-7bc525da3000 r-xp 00004000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.30 MB  7bc52478b000-7bc5247eb000 r--p 00103000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.30 MB  7bc526a7b000-7bc526ac7000 r-xp 00006000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.29 MB  7bc523200000-7bc52324b000 r--p 00000000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.28 MB  7bc524c00000-7bc524c48000 r--p 00000000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.27 MB  7bc52682e000-7bc5268ad000 r-xp 00010000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.26 MB  7bc52301f000-7bc523163000 r-xp 00019000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.23 MB  563bb763a000-563bb7675000 r-xp 00004000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.23 MB  7bc523163000-7bc5231ec000 r--p 0015d000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.18 MB  7bc51941e000-7bc51944d000 r--p 00000000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.18 MB  7bc5267b1000-7bc526800000 r--p 001b1000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.17 MB  7bc526b28000-7bc526b53000 r-xp 00001000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.16 MB  7bc526ac7000-7bc526af1000 r--p 00052000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.16 MB  7bc526600000-7bc526628000 r--p 00000000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.15 MB  7ffebbcbd000-7ffebbce3000 rw-p 00000000 00:00 0 [stack]
0.14 MB  7bc526a2c000-7bc526a50000 r--p 0001f000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.14 MB  7bc52656c000-7bc5265fb000 r--p 000a9000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.13 MB  7bc526a53000-7bc526a75000 rw-p 00000000 00:00 0
0.12 MB  7bc5263b1000-7bc52640a000 r--p 00000000 103:02 27001248 /usr/lib/locale/C.utf8/LC_CTYPE
0.12 MB  7bc5268ad000-7bc526905000 r--p 0008f000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.12 MB  7bc525c84000-7bc525ca3000 r-xp 00004000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.10 MB  7bc5264c3000-7bc5264dc000 r--p 00000000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.10 MB  7bc523006000-7bc52301f000 r--p 00000000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.09 MB  7bc526a15000-7bc526a2c000 r-xp 00008000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.09 MB  7bc524688000-7bc52469e000 r--p 00000000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  7bc526467000-7bc52647a000 r-xp 0000b000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.07 MB  7bc5193f7000-7bc51940a000 r--p 001f7000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.07 MB  7bc5247eb000-7bc5247fc000 r--p 00162000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  7bc5231ec000-7bc5231fd000 r--p 001e5000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.06 MB  7bc52690e000-7bc526936000 r-xp 00005000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.06 MB  7bc52681e000-7bc52682e000 r--p 00000000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
