    PID    PPID %CPU %MEM   RSS    VSZ STAT WCHAN  COMMAND
 458659  458620 30.4  1.1 87904 634388 Sl+  drm_sy bulba
 457282    2420 29.2  5.7 453628 4438396 SLl poll_s obs
 445284       1  8.7  0.5 46240 453348 Ssl  -      packagekitd
 458620  457921  6.9  0.0  5172  11636 S+   do_wai install
 458377    2081  4.5  2.3 187440 2041256 Sl poll_s nautilus
   2150    2145  3.8  1.0 79260 851080 Sl+  drm_sy Xorg
   2420    2081  3.7  3.3 264424 4973912 Ssl poll_s gnome-shell
 457367  457312  1.9  2.9 230536 75216580 Sl futex_ obs-browser-pag
 292697    2081  1.0  3.6 286976 2088448 SLl poll_s telegram-deskto
 457911    2420  1.0  1.5 125056 767004 Sl  poll_s kitty
 457385  457312  0.9  1.8 147760 75218568 Sl futex_ obs-browser-pag
 446202       1  0.7  0.6 48568 787516 Ssl  -      flatpak-system-
 457368  457312  0.7  1.6 126164 80374144 Sl futex_ obs-browser-pag
   2110    2081  0.6  0.4 34768 155516 S<Lsl ep_pol pipewire-pulse
 457343  457282  0.5  1.0 85208 954896 Sl   futex_ obs-browser-pag
   2109    2081  0.5  0.2 15864 408912 S<Lsl poll_s wireplumber
 457921  457911  0.4  0.1 10392  16740 Ss   sigsus zsh
 445544       2  0.3  0.0     0      0 I<   -      kworker/u49:3-hci0
    279       2  0.2  0.0     0      0 S    -      irq/140-GXTP7863:00
 419178    2081  0.2  5.1 402080 40469572 Ssl ep_pol zed-editor
 446257    2420  0.2  0.8 66508 3216008 Sl  poll_s gjs
 445025       2  0.1  0.0     0      0 I    -      kworker/u48:25-events_unbound
   2106    2081  0.1  0.2 21664 200304 S<sl ep_pol pipewire
   2543    2081  0.1  0.2 19796 471388 Ssl  poll_s ibus-daemon
   7391    2420  0.1  0.9 72844 4584284 Sl  poll_s Happ
 393578    1926  0.1  0.3 25168 1273704 Sl  -      sing-box
 445033       2  0.1  0.0     0      0 I    -      kworker/u48:33-kvfree_rcu_reclaim
     15       2  0.1  0.0     0      0 I    -      rcu_preempt
 457330  457311  0.1  1.5 125272 36075756 Sl poll_s obs-browser-pag
    708       2  0.0  0.0     0      0 S    -      irq/151-iwlwifi:default_queue
   2679    2394  0.0  7.6 598868 2723900 Sl poll_s gnome-software
   1937       1  0.0  0.1 14600 2385380 Ssl -      containerd
   3153       1  0.0  0.1  8276 527588 Ssl  -      zerotier-one
   1926       1  0.0  0.1 14528 227940 Ssl  -      happd
    713       2  0.0  0.0     0      0 S    -      irq/156-iwlwifi:queue_5
   2883    2543  0.0  0.1  8180 239404 Sl   poll_s ibus-engine-sim
     41       2  0.0  0.0     0      0 S    -      migration/8
    718       2  0.0  0.0     0      0 S    -      irq/161-iwlwifi:queue_10
   2674    2081  0.0  0.2 17336 307280 Sl   poll_s ibus-x11
