33.89 MB  727cde800000-727ce6a08000 r-xp 00000000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
14.08 MB  57a2a1db6000-57a2a2bf6000 rw-p 00000000 00:00 0 [heap]
6.56 MB  727ce6a09000-727ce709e000 r--p 08208000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
2.22 MB  727ce844b000-727ce8d0a000 r-xp 0004b000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
1.30 MB  727ceb828000-727ceb9b1000 r-xp 00028000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
1.10 MB  727cd9e5b000-727cda26b000 r-xp 0005b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.85 MB  727ce8d0a000-727ce9784000 r--p 0090a000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.78 MB  727cdaa00000-727cdaac9000 r--p 00000000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.74 MB  727cdb873000-727cdb931000 r--p 00e72000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.70 MB  727cdba5a000-727cdbdd0000 r-xp 0005a000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.70 MB  727ce9a9d000-727ce9be5000 r-xp 0009d000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.70 MB  727cdc48b000-727cdc542000 r--p 00a8b000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.67 MB  727cd802b000-727cd80ff000 rw-p 00000000 00:00 0
0.66 MB  727ce9784000-727ce982f000 r--p 01383000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.66 MB  57a28bc88000-57a28bd35000 r--p 0003f000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.65 MB  727cdbdd0000-727cdc48b000 r--p 003d0000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.63 MB  727ce70e6000-727ce718e000 rw-p 00000000 00:00 0
0.62 MB  727cdaac9000-727cdb090000 r-xp 000c9000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.61 MB  727ce9a00000-727ce9a9d000 r--p 00000000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.61 MB  727ce9e48000-727cea459000 r-xp 00048000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.61 MB  727ce9c9e000-727ce9d8b000 r-xp 00016000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.60 MB  727cdb090000-727cdb873000 r--p 00690000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.59 MB  727ceadd1000-727ceae6a000 r--p 00fd0000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.59 MB  727cda8c6000-727cda95c000 r--p 00ac5000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.58 MB  727ce7fd3000-727ce806a000 r--p 00dd3000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.57 MB  727ce77da000-727ce7fd3000 r--p 005da000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.56 MB  727ceb6dc000-727ceb76c000 r-xp 00019000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.55 MB  727cebbc3000-727cebc54000 r-xp 0000d000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.55 MB  727cde373000-727cde400000 rw-p 00000000 00:00 0
0.54 MB  727ce725d000-727ce77da000 r-xp 0005d000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.51 MB  727ce9833000-727ce98b9000 rw-p 00000000 00:00 0
0.50 MB  727cda26b000-727cda8c6000 r--p 0046b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.48 MB  727cea459000-727ceadd1000 r--p 00659000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.41 MB  727cde400000-727cde468000 r--p 00000000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.36 MB  727ce7200000-727ce725d000 r--p 00000000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.36 MB  727cd9e00000-727cd9e5b000 r--p 00000000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.35 MB  727cdba00000-727cdba5a000 r--p 00000000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.34 MB  727ceaf4a000-727ceaff1000 r-xp 00004000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.32 MB  727cebaa3000-727cebb22000 r-xp 00010000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.30 MB  727ce9d8b000-727ce9deb000 r--p 00103000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.30 MB  727cebcf0000-727cebd3c000 r-xp 00006000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.29 MB  727ce8400000-727ce844b000 r--p 00000000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.28 MB  727ce9e00000-727ce9e48000 r--p 00000000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.26 MB  727ce821f000-727ce8363000 r-xp 00019000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.23 MB  57a28bc4d000-57a28bc88000 r-xp 00004000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.23 MB  727ce8363000-727ce83ec000 r--p 0015d000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.18 MB  727cde61e000-727cde64d000 r--p 00000000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.18 MB  727ceb9b1000-727ceba00000 r--p 001b1000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.17 MB  727cebd9d000-727cebdc8000 r-xp 00001000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.16 MB  727ceb800000-727ceb828000 r--p 00000000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.15 MB  727ceb76c000-727ceb7fb000 r--p 000a9000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.14 MB  7fff4bae4000-7fff4bb09000 rw-p 00000000 00:00 0 [stack]
0.14 MB  727cebd3c000-727cebd66000 r--p 00052000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.14 MB  727cebca1000-727cebcc5000 r--p 0001f000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.13 MB  727cebcc8000-727cebcea000 rw-p 00000000 00:00 0
0.12 MB  727ceb622000-727ceb67b000 r--p 00000000 103:02 27001248 /usr/lib/locale/C.utf8/LC_CTYPE
0.12 MB  727cebb22000-727cebb7a000 r--p 0008f000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.12 MB  727ceaefb000-727ceaf1a000 r-xp 00004000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.10 MB  727ceb6c3000-727ceb6dc000 r--p 00000000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.10 MB  727ce8206000-727ce821f000 r--p 00000000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.09 MB  727cebc8a000-727cebca1000 r-xp 00008000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.09 MB  727ce9c88000-727ce9c9e000 r--p 00000000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  727ceba35000-727ceba48000 r-xp 0000b000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.07 MB  727cde5f7000-727cde60a000 r--p 001f7000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.07 MB  727ce9deb000-727ce9dfc000 r--p 00162000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  727ce83ec000-727ce83fd000 r--p 001e5000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.06 MB  727cebb83000-727cebbab000 r-xp 00005000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.06 MB  727ceba93000-727cebaa3000 r--p 00000000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.06 MB  727ceba79000-727ceba8b000 r-xp 00002000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.06 MB  727ceb000000-727ceb577000 r--p 00000000 103:02 27001179 /usr/lib/locale/locale-archive
0.06 MB  727ceaecd000-727ceaef1000 r-xp 00004000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.06 MB  727ceaea1000-727ceaeb7000 r-xp 00003000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
