33.89 MB  7f91f3e00000-7f91fc008000 r-xp 00000000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
13.50 MB  5ac9a81a1000-5ac9a8f56000 rw-p 00000000 00:00 0 [heap]
6.56 MB  7f91fc009000-7f91fc69e000 r--p 08208000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
2.22 MB  7f91fda4b000-7f91fe30a000 r-xp 0004b000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
1.17 MB  7f9200e28000-7f9200fb1000 r-xp 00028000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
1.10 MB  7f91ef45b000-7f91ef86b000 r-xp 0005b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.85 MB  7f91fe30a000-7f91fed84000 r--p 0090a000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.78 MB  7f91f0000000-7f91f00c9000 r--p 00000000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.74 MB  7f91f0e73000-7f91f0f31000 r--p 00e72000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.70 MB  7f91f105a000-7f91f13d0000 r-xp 0005a000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.70 MB  7f91ff09d000-7f91ff1e5000 r-xp 0009d000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.70 MB  7f91f1a8b000-7f91f1b42000 r--p 00a8b000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.67 MB  7f91df42c000-7f91df500000 rw-p 00000000 00:00 0
0.67 MB  5ac988e6e000-5ac988f1b000 r--p 0003e000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.66 MB  7f91fed84000-7f91fee2f000 r--p 01383000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.65 MB  7f91f13d0000-7f91f1a8b000 r--p 003d0000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.63 MB  7f91fc6e6000-7f91fc78e000 rw-p 00000000 00:00 0
0.62 MB  7f91f00c9000-7f91f0690000 r-xp 000c9000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.61 MB  7f91ff000000-7f91ff09d000 r--p 00000000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.61 MB  7f91ff448000-7f91ffa59000 r-xp 00048000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.61 MB  7f91fee9e000-7f91fef8b000 r-xp 00016000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.60 MB  7f91f0690000-7f91f0e73000 r--p 00690000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.59 MB  7f92003d1000-7f920046a000 r--p 00fd0000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.59 MB  7f91efec6000-7f91eff5c000 r--p 00ac5000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.58 MB  7f91fd5d3000-7f91fd66a000 r--p 00dd3000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.57 MB  7f91fcdda000-7f91fd5d3000 r--p 005da000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.56 MB  7f9200cdc000-7f9200d6c000 r-xp 00019000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.55 MB  7f91f0f73000-7f91f1000000 rw-p 00000000 00:00 0
0.55 MB  7f9201151000-7f92011e2000 r-xp 0000d000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.54 MB  7f91fc85d000-7f91fcdda000 r-xp 0005d000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.50 MB  7f91ef86b000-7f91efec6000 r--p 0046b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.50 MB  7f91f1b80000-7f91f1c00000 rw-p 00000000 00:00 0
0.48 MB  7f91ffa59000-7f92003d1000 r--p 00659000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.41 MB  7f91f3a00000-7f91f3a68000 r--p 00000000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.36 MB  7f91fc800000-7f91fc85d000 r--p 00000000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.36 MB  7f91ef400000-7f91ef45b000 r--p 00000000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.35 MB  7f91f1000000-7f91f105a000 r--p 00000000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.35 MB  7f92004fc000-7f92005a3000 r-xp 00004000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.30 MB  7f91fef8b000-7f91fefeb000 r--p 00103000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.30 MB  7f920127e000-7f92012ca000 r-xp 00006000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.29 MB  7f91fda00000-7f91fda4b000 r--p 00000000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.28 MB  7f91ff400000-7f91ff448000 r--p 00000000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.27 MB  7f9201031000-7f92010b0000 r-xp 00010000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.26 MB  7f91fd81f000-7f91fd963000 r-xp 00019000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.23 MB  7f91fd963000-7f91fd9ec000 r--p 0015d000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.23 MB  5ac988e34000-5ac988e6e000 r-xp 00004000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.18 MB  7f91f3c1e000-7f91f3c4d000 r--p 00000000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.18 MB  7f9200fb1000-7f9201000000 r--p 001b1000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.17 MB  7f920132b000-7f9201356000 r-xp 00001000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.16 MB  7f9200e00000-7f9200e28000 r--p 00000000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.15 MB  7ffe2348f000-7ffe234b6000 rw-p 00000000 00:00 0 [stack]
0.15 MB  7f9200d6c000-7f9200dfb000 r--p 000a9000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.14 MB  7f92012ca000-7f92012f4000 r--p 00052000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.13 MB  7f9201256000-7f9201278000 rw-p 00000000 00:00 0
0.13 MB  7f920122f000-7f9201253000 r--p 0001f000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.12 MB  7f9200bb3000-7f9200c0c000 r--p 00000000 103:02 27001248 /usr/lib/locale/C.utf8/LC_CTYPE
0.12 MB  7f92010b0000-7f9201108000 r--p 0008f000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.12 MB  7f9200484000-7f92004a3000 r-xp 00004000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.10 MB  7f9200cc3000-7f9200cdc000 r--p 00000000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.10 MB  7f91fd806000-7f91fd81f000 r--p 00000000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.09 MB  7f9201218000-7f920122f000 r-xp 00008000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.09 MB  7f91fee88000-7f91fee9e000 r--p 00000000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  7f9200c67000-7f9200c7a000 r-xp 0000b000 103:02 27012971 /usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0
0.07 MB  7f91f3bf7000-7f91f3c0a000 r--p 001f7000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.07 MB  7f91fefeb000-7f91feffc000 r--p 00162000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.07 MB  7f91fd9ec000-7f91fd9fd000 r--p 001e5000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.06 MB  7f9201111000-7f9201139000 r-xp 00005000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.06 MB  7f9201021000-7f9201031000 r--p 00000000 103:02 27029210 /usr/lib/x86_64-linux-gnu/libm.so.6
0.06 MB  7f9200ca9000-7f9200cbb000 r-xp 00002000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.06 MB  7f9200600000-7f9200b77000 r--p 00000000 103:02 27001179 /usr/lib/locale/locale-archive
0.06 MB  7f91ff3d6000-7f91ff3fa000 r-xp 00004000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.06 MB  7f91ff3b6000-7f91ff3cc000 r-xp 00003000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
0.06 MB  7f91ff374000-7f91ff393000 r-xp 00008000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.06 MB  7f91ff346000-7f91ff359000 r-xp 0000e000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.06 MB  7f91ff309000-7f91ff32b000 r-xp 00003000 103:02 27012024 /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
0.06 MB  7f91f3c4d000-7f91f3db3000 r-xp 0002f000 103:02 27006675 /usr/lib/x86_64-linux-gnu/libxml2.so.2.9.14
0.06 MB  7f91f3a68000-7f91f3b6d000 r-xp 00068000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
