5ebd7a31e000-7ffe2c11d000 ---p 00000000 00:00 0                          [rollup]
Rss:               87244 kB
Pss:               46292 kB
Pss_Dirty:         29332 kB
Pss_Anon:          28360 kB
Pss_File:          17864 kB
Pss_Shmem:            68 kB
Shared_Clean:      57248 kB
Shared_Dirty:         44 kB
Private_Clean:       640 kB
Private_Dirty:     29312 kB
Referenced:        87244 kB
Anonymous:         28360 kB
KSM:                   0 kB
LazyFree:              0 kB
AnonHugePages:         0 kB
ShmemPmdMapped:        0 kB
FilePmdMapped:         0 kB
Shared_Hugetlb:        0 kB
Private_Hugetlb:       0 kB
Swap:                  0 kB
SwapPss:               0 kB
Locked:                0 kB
