33.89 MB  7743d0400000-7743d8608000 r-xp 00000000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
13.49 MB  5ebda7fc6000-5ebda8d7b000 rw-p 00000000 00:00 0 [heap]
6.56 MB  7743d8609000-7743d8c9e000 r--p 08208000 103:02 27003471 /usr/lib/x86_64-linux-gnu/libLLVM.so.20.1
2.22 MB  7743da04b000-7743da90a000 r-xp 0004b000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
1.17 MB  7743dd228000-7743dd3b1000 r-xp 00028000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
1.10 MB  7743cba5b000-7743cbe6b000 r-xp 0005b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.85 MB  7743da90a000-7743db384000 r--p 0090a000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.78 MB  7743cc600000-7743cc6c9000 r--p 00000000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.74 MB  7743cd473000-7743cd531000 r--p 00e72000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.70 MB  7743cd65a000-7743cd9d0000 r-xp 0005a000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.70 MB  7743db69d000-7743db7e5000 r-xp 0009d000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.70 MB  7743ce08b000-7743ce142000 r--p 00a8b000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.68 MB  5ebd7a35c000-5ebd7a409000 r--p 0003e000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.67 MB  7743bb9f2000-7743bbac6000 rw-p 00000000 00:00 0
0.66 MB  7743db384000-7743db42f000 r--p 01383000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.65 MB  7743cd9d0000-7743ce08b000 r--p 003d0000 103:02 27017146 /usr/lib/x86_64-linux-gnu/libvulkan_asahi.so
0.63 MB  7743d8ce6000-7743d8d8e000 rw-p 00000000 00:00 0
0.62 MB  7743cc6c9000-7743ccc90000 r-xp 000c9000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.61 MB  7743db600000-7743db69d000 r--p 00000000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.61 MB  7743dba48000-7743dc059000 r-xp 00048000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.61 MB  7743db49e000-7743db58b000 r-xp 00016000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.60 MB  7743ccc90000-7743cd473000 r--p 00690000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.59 MB  7743dc9d1000-7743dca6a000 r--p 00fd0000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.59 MB  7743cc4c6000-7743cc55c000 r--p 00ac5000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.58 MB  7743d9bd3000-7743d9c6a000 r--p 00dd3000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.57 MB  7743d93da000-7743d9bd3000 r--p 005da000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.56 MB  7743dd4e4000-7743dd574000 r-xp 00019000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.55 MB  7743dd738000-7743dd7c9000 r-xp 0000d000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
0.55 MB  7743cd573000-7743cd600000 rw-p 00000000 00:00 0
0.54 MB  7743d8e5d000-7743d93da000 r-xp 0005d000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.50 MB  7743cbe6b000-7743cc4c6000 r--p 0046b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.50 MB  7743ce180000-7743ce200000 rw-p 00000000 00:00 0
0.48 MB  7743dc059000-7743dc9d1000 r--p 00659000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.41 MB  7743d0000000-7743d0068000 r--p 00000000 103:02 27012577 /usr/lib/x86_64-linux-gnu/libicuuc.so.74.2
0.36 MB  7743d8e00000-7743d8e5d000 r--p 00000000 103:02 27020487 /usr/lib/x86_64-linux-gnu/libvulkan_radeon.so
0.36 MB  7743cba00000-7743cba5b000 r--p 00000000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
